,ChEMBL_ID,pIC50
0,CHEMBL303519,5.01
1,CHEMBL292943,7.3
2,CHEMBL61682,7.6
3,CHEMBL64487,6.44
4,CHEMBL64597,6.52
5,CHEMBL291824,7.16
6,CHEMBL59942,7.31
7,CHEMBL61657,7.22
8,CHEMBL302183,6.92
9,CHEMBL304692,5.64
10,CHEMBL555670,6.44
11,CHEMBL291380,6.6
12,CHEMBL64671,6.31
13,CHEMBL62829,7.09
14,CHEMBL64119,6.21
15,CHEMBL302904,7.64
16,CHEMBL60957,6.35
17,CHEMBL1204116,7.11
18,CHEMBL42,6.86
19,CHEMBL1203260,6.58
20,CHEMBL1202222,6.7
21,CHEMBL2092961,7.22
22,CHEMBL1202211,7.77
23,CHEMBL1202213,8.7
24,CHEMBL125455,7.19
25,CHEMBL1202216,8.3
26,CHEMBL1202217,6.77
27,CHEMBL1202202,7.92
28,CHEMBL54,8.22666666667
29,CHEMBL1202221,6.84
30,CHEMBL1202220,6.61
31,CHEMBL1203257,6.12
32,CHEMBL1202219,7.89
33,CHEMBL1202210,6.89
34,CHEMBL341497,7.43
35,CHEMBL1202215,8.3
36,CHEMBL1202212,6.68
37,CHEMBL1202209,7.17
38,CHEMBL1202204,6.64
39,CHEMBL1202206,8.16
40,CHEMBL1202208,7.14
41,CHEMBL1204119,7.35
42,CHEMBL1202205,8.3
43,CHEMBL1202224,6.12
44,CHEMBL1202225,7.5
45,CHEMBL1202223,7.25
46,CHEMBL1202214,8.0
47,CHEMBL22242,7.49
48,CHEMBL831,7.27
49,CHEMBL415300,7.47
50,CHEMBL72292,6.85
51,CHEMBL81485,5.77
52,CHEMBL70319,7.52
53,CHEMBL73589,7.64
54,CHEMBL83658,6.06
55,CHEMBL313189,5.02
56,CHEMBL430798,7.28
57,CHEMBL6437,5.15
58,CHEMBL19331,5.99
59,CHEMBL2303762,5.62
60,CHEMBL349034,7.1
61,CHEMBL164792,8.0
62,CHEMBL331077,5.72
63,CHEMBL315772,8.06
64,CHEMBL553331,7.37
65,CHEMBL305660,6.58
66,CHEMBL338611,7.39
67,CHEMBL14376,6.96
68,CHEMBL11425,7.17
69,CHEMBL11265,5.96
70,CHEMBL417608,5.75
71,CHEMBL416523,7.53
72,CHEMBL11262,5.59
73,CHEMBL11592,8.0
74,CHEMBL116463,6.26
75,CHEMBL326263,5.65
76,CHEMBL113956,5.54
77,CHEMBL115280,6.27
78,CHEMBL325750,6.91
79,CHEMBL115222,5.67
80,CHEMBL325516,5.58
81,CHEMBL114484,6.32
82,CHEMBL326962,6.25
83,CHEMBL116233,5.33
84,CHEMBL111964,5.31
85,CHEMBL113282,6.05
86,CHEMBL112170,5.82
87,CHEMBL325063,5.15
88,CHEMBL112957,5.39
89,CHEMBL113449,5.6
90,CHEMBL359002,6.12
91,CHEMBL356358,6.09
92,CHEMBL2373205,6.06
93,CHEMBL144811,6.6
94,CHEMBL26929,7.7
95,CHEMBL424125,6.82
96,CHEMBL2373210,6.19
97,CHEMBL286725,6.16
98,CHEMBL26677,7.89
99,CHEMBL35226,5.47
100,CHEMBL84931,7.44
101,CHEMBL314107,6.35
102,CHEMBL85735,7.26
103,CHEMBL611207,7.155
104,CHEMBL608530,6.005
105,CHEMBL301242,7.645
106,CHEMBL59725,7.02
107,CHEMBL139926,6.93
108,CHEMBL302374,7.26
109,CHEMBL262724,7.12
110,CHEMBL69451,7.04
111,CHEMBL71327,7.79
112,CHEMBL71865,8.13
113,CHEMBL180060,6.79
114,CHEMBL370713,7.21
115,CHEMBL194493,7.86
116,CHEMBL195057,8.08
117,CHEMBL366904,6.96
118,CHEMBL175734,6.6
119,CHEMBL180010,7.09
120,CHEMBL300780,5.89
121,CHEMBL54786,7.36
122,CHEMBL708,8.3
123,CHEMBL69584,6.16
124,CHEMBL107742,6.73
125,CHEMBL320597,6.95
126,CHEMBL201019,5.28
127,CHEMBL37333,5.41
128,CHEMBL1729,6.485
129,CHEMBL244989,6.75
130,CHEMBL394541,6.76
131,CHEMBL244774,7.64
132,CHEMBL244773,6.43
133,CHEMBL398175,5.89
134,CHEMBL244562,7.39
135,CHEMBL241973,6.97
136,CHEMBL110365,6.65
137,CHEMBL231156,6.17
138,CHEMBL390253,7.05
139,CHEMBL250689,6.0
140,CHEMBL249854,6.19
141,CHEMBL259415,5.16
142,CHEMBL261102,5.82
143,CHEMBL261019,5.18
144,CHEMBL261434,5.4
145,CHEMBL259776,5.28
146,CHEMBL260907,6.0
147,CHEMBL259199,5.82
148,CHEMBL406221,6.85
149,CHEMBL392158,8.3
150,CHEMBL502017,7.77
151,CHEMBL496739,6.07
152,CHEMBL503468,6.16
153,CHEMBL3084502,7.32
154,CHEMBL445102,8.35
155,CHEMBL3084515,8.72
156,CHEMBL3084512,7.58
157,CHEMBL3084503,6.68
158,CHEMBL461571,5.45
159,CHEMBL522460,5.435
160,CHEMBL485755,5.44
161,CHEMBL521030,5.64
162,CHEMBL487984,5.57
163,CHEMBL487788,5.96
164,CHEMBL487985,5.72
165,CHEMBL1255588,8.262
166,CHEMBL478034,5.95
167,CHEMBL477821,5.69
168,CHEMBL489576,5.57
169,CHEMBL582945,5.8
170,CHEMBL574700,6.32
171,CHEMBL584554,5.8
172,CHEMBL1086626,5.97
173,CHEMBL1086754,5.6
174,CHEMBL1086756,5.43
175,CHEMBL1276708,7.49
176,CHEMBL1276709,7.15
177,CHEMBL1276738,8.1
178,CHEMBL1276739,7.96
179,CHEMBL23464,9.17
180,CHEMBL1276763,8.3
181,CHEMBL1276764,6.96
182,CHEMBL1276765,6.91
183,CHEMBL1276325,9.54
184,CHEMBL1276326,8.96
185,CHEMBL1276327,8.89
186,CHEMBL1276350,8.57
187,CHEMBL1276351,7.17
188,CHEMBL1276238,6.59
189,CHEMBL1276352,7.7
190,CHEMBL1276374,8.25
191,CHEMBL1276268,7.34
192,CHEMBL1276375,8.38
193,CHEMBL1276399,7.19
194,CHEMBL1276400,8.06
195,CHEMBL1276401,6.44
196,CHEMBL1276426,7.41
197,CHEMBL1276427,7.24
198,CHEMBL1276428,7.92
199,CHEMBL1276459,8.08
200,CHEMBL1276460,7.77
201,CHEMBL1276461,7.59
202,CHEMBL1276494,8.85
203,CHEMBL1276495,6.73
204,CHEMBL1276496,8.52
205,CHEMBL1276527,7.59
206,CHEMBL1276528,8.11
207,CHEMBL1276529,8.54
208,CHEMBL1276559,8.82
209,CHEMBL1276560,9.04
210,CHEMBL1276561,8.64
211,CHEMBL1276585,9.3
212,CHEMBL1276586,6.69
213,CHEMBL1276587,7.17
214,CHEMBL283099,8.0
215,CHEMBL1276615,8.49
216,CHEMBL1276616,8.26
217,CHEMBL1276645,8.28
218,CHEMBL1276646,7.77
219,CHEMBL1276647,8.75
220,CHEMBL282925,8.89
221,CHEMBL282024,7.28
222,CHEMBL1276677,7.4
223,CHEMBL1276269,6.5
224,CHEMBL1276710,7.25
225,CHEMBL1276711,7.96
226,CHEMBL1276712,8.77
227,CHEMBL1276740,8.15
228,CHEMBL1276741,7.96
229,CHEMBL1276742,7.72
230,CHEMBL1276766,6.85
231,CHEMBL1276767,5.52
232,CHEMBL1642118,6.87
233,CHEMBL1642128,5.75
234,CHEMBL1774533,5.8
235,CHEMBL1774538,6.38
236,CHEMBL26,7.34
237,CHEMBL1807825,5.4
238,CHEMBL1807824,5.6
239,CHEMBL1807823,5.4
240,CHEMBL1807821,6.1
241,CHEMBL1807820,6.7
242,CHEMBL1807819,6.2
243,CHEMBL82663,7.0
244,CHEMBL1346,4.6
245,CHEMBL1807826,6.3
246,CHEMBL1807828,5.8
247,CHEMBL1807829,6.4
248,CHEMBL1807831,6.1
249,CHEMBL1807832,5.5
250,CHEMBL1807869,5.8
251,CHEMBL1807870,6.0
252,CHEMBL1807871,6.0
253,CHEMBL1807873,5.7
254,CHEMBL1807874,5.6
255,CHEMBL3216758,6.04
256,CHEMBL3216098,5.86
257,CHEMBL49,6.49
258,CHEMBL493,8.8
259,CHEMBL508112,5.23
260,CHEMBL296419,5.35
261,CHEMBL1113,6.7
262,CHEMBL633,4.7
263,CHEMBL1403281,8.71
264,CHEMBL629,6.0
265,CHEMBL64894,5.5
266,CHEMBL808,4.89
267,CHEMBL1385840,8.3
268,CHEMBL30008,6.45
269,CHEMBL119443,6.26
270,CHEMBL726,8.79
271,CHEMBL442,8.37
272,CHEMBL1108,8.62
273,CHEMBL1626,6.87
274,CHEMBL936,5.48
275,CHEMBL1255837,8.83
276,CHEMBL964,4.64
277,CHEMBL104,4.91
278,CHEMBL1732,8.05
279,CHEMBL411,4.88
280,CHEMBL43064,6.11
281,CHEMBL71,8.2975
282,CHEMBL415,6.38
283,CHEMBL516,6.79
284,CHEMBL219916,8.58
285,CHEMBL723,6.84
286,CHEMBL564,6.3
287,CHEMBL643,6.555
288,CHEMBL531,6.96
289,CHEMBL1909072,8.39
290,CHEMBL715,7.465
291,CHEMBL716,5.88
292,CHEMBL728,7.96
293,CHEMBL1065,6.09
294,CHEMBL21731,5.46
295,CHEMBL86,6.9
296,CHEMBL91,4.9
297,CHEMBL19215,7.2
298,CHEMBL1221512,6.8
299,CHEMBL157138,8.54
300,CHEMBL1909065,6.15
301,CHEMBL1201356,6.08
302,CHEMBL267044,6.89
303,CHEMBL141343,4.78
304,CHEMBL15245,5.69
305,CHEMBL479,7.46
306,CHEMBL83,4.86
307,CHEMBL84158,5.91
308,CHEMBL85,7.7
309,CHEMBL17157,5.21
310,CHEMBL81,5.93
311,CHEMBL1624037,5.35
312,CHEMBL1934127,6.3
313,CHEMBL1934130,5.82
314,CHEMBL1947157,6.6
315,CHEMBL1944689,6.0
316,CHEMBL1944690,6.2
317,CHEMBL1944691,6.4
318,CHEMBL1944692,5.7
319,CHEMBL1944694,6.2
320,CHEMBL1944695,5.7
321,CHEMBL1945031,6.4
322,CHEMBL1945033,5.8
323,CHEMBL1945034,5.6
324,CHEMBL1945035,6.1
325,CHEMBL1945036,5.6
326,CHEMBL1945037,6.5
327,CHEMBL1945039,6.0
328,CHEMBL1945040,5.6
329,CHEMBL1945041,6.6
330,CHEMBL1945042,6.2
331,CHEMBL1945043,5.3
332,CHEMBL1945044,6.1
333,CHEMBL1945289,6.1
334,CHEMBL1945290,5.9
335,CHEMBL1945291,6.0
336,CHEMBL1945292,6.1
337,CHEMBL1945294,5.5
338,CHEMBL1945296,7.1
339,CHEMBL1945297,6.9
340,CHEMBL1945298,6.4
341,CHEMBL1945299,6.0
342,CHEMBL1945504,5.7
343,CHEMBL2016616,5.61
344,CHEMBL2016615,5.685
345,CHEMBL2016614,5.05
346,CHEMBL2016608,5.665
347,CHEMBL2016607,6.11
348,CHEMBL2016631,5.11
349,CHEMBL2016630,4.965
350,CHEMBL2016629,5.955
351,CHEMBL2016628,7.355
352,CHEMBL2016627,7.635
353,CHEMBL2016626,7.06
354,CHEMBL2016625,5.84
355,CHEMBL2016624,5.62
356,CHEMBL2016623,5.58
357,CHEMBL2016622,5.79
358,CHEMBL267930,9.25
359,CHEMBL487387,6.17
360,CHEMBL2057457,6.34
361,CHEMBL2057456,6.29
362,CHEMBL2057453,6.06
363,CHEMBL2057451,5.94
364,CHEMBL2180641,5.9
365,CHEMBL2180639,5.78
366,CHEMBL2326473,5.36
367,CHEMBL2326472,6.06
368,CHEMBL2326471,5.0
369,CHEMBL2326470,5.82
370,CHEMBL2326469,5.92
371,CHEMBL2326468,5.6
372,CHEMBL2326485,5.35
373,CHEMBL2326484,5.77
374,CHEMBL2326483,5.1
375,CHEMBL2326482,6.0
376,CHEMBL2326481,6.52
377,CHEMBL2326480,6.05
378,CHEMBL2326479,6.4
379,CHEMBL2326478,6.4
380,CHEMBL2326477,6.22
381,CHEMBL2326476,5.54
382,CHEMBL2326475,5.0
383,CHEMBL2326474,5.0
384,CHEMBL2326492,5.11
385,CHEMBL2326491,4.52
386,CHEMBL2326490,5.35
387,CHEMBL2326489,4.72
388,CHEMBL2326488,5.85
389,CHEMBL2326487,5.12
390,CHEMBL2326486,6.17
391,CHEMBL218166,8.54
392,CHEMBL1112,7.9475
393,CHEMBL245621,8.16
394,CHEMBL448891,4.73
395,CHEMBL1457510,6.0
396,CHEMBL2335738,6.0
397,CHEMBL2335741,6.42
398,CHEMBL2335737,6.66
399,CHEMBL2331599,6.82
400,CHEMBL2335736,8.22
401,CHEMBL567,9.52
402,CHEMBL2387229,7.58
403,CHEMBL2393246,6.79
404,CHEMBL2393243,6.83
405,CHEMBL2393245,7.07
406,CHEMBL2393244,7.2
407,CHEMBL2392349,8.46
408,CHEMBL11,6.39
409,CHEMBL1557,5.0
410,CHEMBL3113644,4.79
411,CHEMBL3134071,5.81
412,CHEMBL3134070,5.57
413,CHEMBL3134068,6.74
414,CHEMBL3134067,5.87
415,CHEMBL3134066,5.44
416,CHEMBL3134065,5.27
417,CHEMBL3134064,5.36
418,CHEMBL3134063,5.18
419,CHEMBL53,7.655
420,CHEMBL2028019,8.775
421,CHEMBL3287397,6.44
422,CHEMBL3287402,7.6
423,CHEMBL3287403,8.42
424,CHEMBL8514,8.63
425,CHEMBL3299093,7.03
426,CHEMBL3299097,8.4
427,CHEMBL3322993,7.885
428,CHEMBL3322994,7.75333333333
429,CHEMBL3323011,6.39333333333
430,CHEMBL3323013,6.415
431,CHEMBL3323015,7.06
432,CHEMBL3323016,7.09666666667
433,CHEMBL3323017,6.8
434,CHEMBL3322995,7.22
435,CHEMBL3322998,6.79
436,CHEMBL3323003,6.61
437,CHEMBL3323012,6.38
438,CHEMBL3323019,6.51
439,CHEMBL3323112,6.66
440,CHEMBL3323114,6.55
441,CHEMBL3344458,6.04
442,CHEMBL3344459,6.8
443,CHEMBL3335539,4.78
444,CHEMBL3335555,4.78
445,CHEMBL1627305,5.36
446,CHEMBL3597643,7.06
447,CHEMBL68740,6.25
448,CHEMBL3597635,7.54
449,CHEMBL3597636,6.14
450,CHEMBL3597637,7.2
451,CHEMBL3623290,6.1
452,CHEMBL244990,7.8
453,CHEMBL3805518,7.64
454,CHEMBL3805559,8.07
455,CHEMBL3805376,7.16
456,CHEMBL3804954,6.78
457,CHEMBL3805600,7.01
458,CHEMBL3805860,8.0
459,CHEMBL3805099,7.92
460,CHEMBL3805704,7.04
461,CHEMBL3805649,7.37
462,CHEMBL3805165,8.39
463,CHEMBL3804965,7.52
464,CHEMBL3805077,7.5
465,CHEMBL3806169,7.26
466,CHEMBL3805772,6.94
467,CHEMBL3805826,7.78
468,CHEMBL3805120,8.01
469,CHEMBL3805884,7.41
470,CHEMBL3806091,5.44
471,CHEMBL3804943,7.92
472,CHEMBL3806224,7.46
473,CHEMBL3806047,7.05
474,CHEMBL3805434,7.42
475,CHEMBL3805327,7.23
476,CHEMBL3805262,5.8
477,CHEMBL3805515,6.7
478,CHEMBL3805046,6.77
